id,name
0,Vault-Women round-off flic-flac with 0.5 turn on stretched salto forward with 0.5 turn off
1,Vault-Women round-off flic-flac on stretched salto backward with 2 turn off
2,Vault-Women round-off flic-flac on stretched salto backward with 1 turn off
3,Vault-Women round-off flic-flac on stretched salto backward with 1.5 turn off
4,Vault-Women round-off flic-flac on stretched salto backward with 2.5 turn off
5,Vault-Women round-off flic-flac on stretched salto backward off
6,Floor Exercise switch leap with 0.5 turn
7,Floor Exercise switch leap with 1 turn
8,Floor Exercise split leap with 1 turn
9,Floor Exercise split leap with 1.5 turn or more
10,Floor Exercise switch leap (leap forward with leg change to cross split)
11,Floor Exercise split jump with 1 turn
12,Floor Exercise split jump (leg separation 180 degree parallel to the floor)
13,Floor Exercise johnson with additional 0.5 turn
14,Floor Exercise straddle pike or side split jump with 1 turn
15,Floor Exercise switch leap to ring position
16,Floor Exercise stag jump
17,Floor Exercise 2 turn with free leg held upward in 180 split position throughout turn
18,Floor Exercise 2 turn in tuck stand on one leg free leg straight throughout turn
19,Floor Exercise 3 turn on one leg free leg optional below horizontal
20,Floor Exercise 2 turn on one leg free leg optional below horizontal
21,Floor Exercise 1 turn on one leg free leg optional below horizontal
22,Floor Exercise 2 turn or more with heel of free leg forward at horizontal throughout turn
23,Floor Exercise 1 turn with heel of free leg forward at horizontal throughout turn
24,Floor Exercise arabian double salto tucked
25,Floor Exercise salto forward tucked
26,Floor Exercise aerial walkover forward
27,Floor Exercise salto forward stretched with 2 twist
28,Floor Exercise salto forward stretched with 1 twist
29,Floor Exercise salto forward stretched with 1.5 twist
30,Floor Exercise salto forward stretched feet land together
31,Floor Exercise double salto backward stretched
32,Floor Exercise salto backward stretched with 3 twist
33,Floor Exercise salto backward stretched with 2 twist
34,Floor Exercise salto backward stretched with 2.5 twist
35,Floor Exercise salto backward stretched with 1.5 twist
36,Floor Exercise double salto backward tucked with 2 twist
37,Floor Exercise double salto backward tucked with 1 twist
38,Floor Exercise double salto backward tucked
39,Floor Exercise double salto backward piked with 1 twist
40,Floor Exercise double salto backward piked
41,Balance Beams sissone (leg separation 180 degree on the diagonal to the floor take off two feet land on one foot)
42,Balance Beams split jump with 0.5 turn in side position
43,Balance Beams split jump
44,Balance Beams straddle pike jump or side split jump
45,Balance Beams split ring jump (ring jump with front leg horizontal to the floor)
46,Balance Beams switch leap with 0.5 turn
47,Balance Beams switch leap (leap forward with leg change)
48,Balance Beams split leap forward
49,Balance Beams johnson (leap forward with leg change and 0.25 turn to side split or straddle pike position)
50,Balance Beams switch leap to ring position
51,Balance Beams sheep jump (jump with upper back arch and head release with feet to head height/closed Ring)
52,Balance Beams wolf hop or jump (hip angle at 45 knees together)
53,Balance Beams 1 turn with heel of free leg forward at horizontal throughout turn
54,Balance Beams 2 turn on one leg free leg optional below horizontal
55,Balance Beams 1 turn on one leg free leg optional below horizontal
56,Balance Beams 2 turn in tuck stand on one leg free leg optional
57,Balance Beams salto backward tucked with 1 twist
58,Balance Beams salto backward tucked
59,Balance Beams salto backward stretched-step out (feet land successively)
60,Balance Beams salto backward stretched with legs together
61,Balance Beams salto sideward tucked take off from one leg to side stand
62,Balance Beams free aerial cartwheel landing in cross position
63,Balance Beams salto forward tucked to cross stand
64,Balance Beams free aerial walkover forward landing on one or both feet
65,Balance Beams jump backward flic-flac take-off with 0.5 twist through handstand to walkover forward also with support on one arm
66,Balance Beams flic-flac to land on both feet
67,Balance Beams flic-flac with step-out also with support on one arm
68,Balance Beams round-off
69,Balance Beams double salto backward tucked
70,Balance Beams salto backward tucked
71,Balance Beams double salto backward piked
72,Balance Beams salto backward stretched with 2 twist
73,Balance Beams salto backward stretched with 2.5 twist
74,Uneven Bars pike sole circle backward with 1 turn to handstand
75,Uneven Bars pike sole circle backward with 0.5 turn to handstand
76,Uneven Bars pike sole circle backward to handstand
77,Uneven Bars giant circle backward with 1 turn to handstand
78,Uneven Bars giant circle backward with 0.5 turn to handstand
79,Uneven Bars giant circle backward
80,Uneven Bars giant circle forward with 1 turn on one arm before handstand phase
81,Uneven Bars giant circle forward with 0.5 turn to handstand
82,Uneven Bars giant circle forward
83,Uneven Bars clear hip circle backward to handstand
84,Uneven Bars clear pike circle backward with 1 turn to handstand
85,Uneven Bars clear pike circle backward with 0.5 turn to handstand
86,Uneven Bars clear pike circle backward to handstand
87,Uneven Bars stalder backward with 1 turn to handstand
88,Uneven Bars stalder backward to handstand
89,Uneven Bars counter straddle over high bar to hang
90,Uneven Bars counter piked over high bar to hang
91,Uneven Bars (swing backward or front support) salto forward straddled to hang on high bar
92,Uneven Bars (swing backward) salto forward piked to hang on high bar
93,Uneven Bars (swing forward or hip circle backward) salto backward with 0.5 turn piked to hang on high bar
94,Uneven Bars transition flight from high bar to low bar
95,Uneven Bars transition flight from low bar to high bar
96,Uneven Bars (swing forward) double salto backward tucked with 1 turn
97,Uneven Bars (swing backward) double salto forward tucked
98,Uneven Bars (swing forward) double salto backward stretched
